source,target,date,site,MOV,value,,school,wins,loses,Tourney Rank,CBS Rank,My Rank (Out of 64),Rank Delta,Offense Score,Defense Score,MOV,Offense Adjust,Defense Adjust,MOV Adjusted,RPI,CBS SOS,My SOS,Team Value,,,,,,,,,,,,,,,
Arizona,Butler,Nov. 25,Neutral,4,-0.15,,Villanova,31,3,1,1,1,0,77.7,62.8,14.9,60.0,56.2,3.8,67%,32,98.9,4.1,,,,,,,,,,,,,,,
Arizona,Gonzaga,Dec. 3,Neutral,7,-0.16,,Gonzaga,32,1,1,8,2,0,84.6,61.2,23.4,59.7,57.9,1.8,64%,42,145.1,3.9,,,,,,,,,,,,,,,
Arizona,Michigan State,Nov. 11,Neutral,2,0.05,,Kentucky,29,5,2,4,3,1,85.9,71.6,14.4,68.6,64.5,4.0,65%,26,93.4,3.7,,,,,,,,,,,,,,,
Arizona,Oregon,Feb. 4,Away,27,-0.29,,Arizona,30,4,2,2,4,1,76.3,65.4,10.8,58.5,59.4,-0.9,65%,35,108.1,2.8,,,,,,,,,,,,,,,
Arizona,Oregon,Mar. 11,Neutral,3,0.16,,UCLA,29,4,3,16,5,1,90.4,75.3,15.0,69.3,70.5,-1.1,62%,27,132.6,2.7,,,,,,,,,,,,,,,
Arizona,Southern California,Feb. 23,Home,13,0.22,,Duke,27,8,2,6,6,0,80.7,69.8,10.8,68.5,58.2,10.3,65%,14,85.4,2.7,,,,,,,,,,,,,,,
Arizona,Southern California,Jan. 19,Away,7,0.17,,Kansas,28,4,1,3,7,-1,82.7,72.4,10.3,65.8,66.2,-0.4,65%,12,90.1,2.6,,,,,,,,,,,,,,,
Arizona,Texas Southern,Nov. 30,Home,22,0.15,,Oregon,28,5,3,9,8,1,78.7,65.4,13.3,60.3,59.5,0.8,64%,29,110.5,2.6,,,,,,,,,,,,,,,
Arizona,UCLA,Feb. 25,Home,5,-0.18,,North Carolina,26,7,1,5,9,-2,84.3,70.9,13.4,69.6,61.7,7.9,65%,9,87.7,2.6,,,,,,,,,,,,,,,
Arizona,UCLA,Jan. 21,Away,11,0.30,,West Virginia,26,8,4,24,10,1,82.0,66.3,15.6,63.3,59.9,3.3,61%,33,112.3,2.4,,,,,,,,,,,,,,,
Arizona,UCLA,Mar. 10,Neutral,11,0.30,,SMU,30,4,6,13,11,3,74.5,59.8,14.7,52.1,56.9,-4.8,63%,48,140.1,2.3,,,,,,,,,,,,,,,
Arkansas,Florida,Dec. 29,Home,9,-0.20,,Florida,24,8,4,10,12,1,78.3,66.6,11.7,63.2,57.6,5.6,64%,8,88.3,2.2,,,,,,,,,,,,,,,
Arkansas,Florida,Mar. 1,Away,13,-0.24,,Louisville,24,8,2,7,13,-2,77.5,65.8,11.7,64.3,55.1,9.3,65%,4,78.5,1.9,,,,,,,,,,,,,,,
Arkansas,Kentucky,Jan. 7,Away,26,-0.18,,Baylor,24,7,3,11,14,-1,71.6,63.0,8.6,58.0,53.8,4.3,64%,5,93.7,1.8,,,,,,,,,,,,,,,
Arkansas,Kentucky,Mar. 12,Neutral,17,-0.16,,Butler,23,8,4,15,15,0,76.3,68.4,7.9,62.1,60.4,1.7,63%,2,93.5,1.7,,,,,,,,,,,,,,,
Arkansas,Minnesota,Nov. 22,Away,14,-0.32,,St. Mary's,28,4,7,17,16,3,72.0,56.5,15.5,49.9,52.0,-2.2,62%,39,148.1,1.6,,,,,,,,,,,,,,,
Arkansas,Mount St. Mary's,Nov. 28,Home,13,0.09,,Virginia,22,10,5,18,17,0,66.6,55.6,11.0,55.1,43.1,12.1,62%,1,86.1,1.5,,,,,,,,,,,,,,,
Arkansas,Oklahoma State,Jan. 28,Away,28,-0.50,,Purdue,25,7,4,19,18,-1,80.1,67.2,13.0,61.2,61.2,0.1,61%,23,108.8,1.4,,,,,,,,,,,,,,,
Arkansas,South Carolina,Feb. 15,Away,7,0.16,,Cincinnati,29,5,6,12,19,1,74.5,60.8,13.6,52.6,57.2,-4.6,63%,45,134.2,1.4,,,,,,,,,,,,,,,
Arkansas,Vanderbilt,Feb. 7,Home,13,-0.38,,Notre Dame,25,9,5,23,20,0,78.0,69.2,8.8,63.8,59.3,4.6,61%,16,104.5,1.4,,,,,,,,,,,,,,,
Arkansas,Vanderbilt,Jan. 24,Away,1,0.04,,Florida State,25,8,3,14,21,-3,82.5,71.3,11.2,66.4,63.5,2.9,63%,13,96.3,1.3,,,,,,,,,,,,,,,
Arkansas,Vanderbilt,Mar. 11,Neutral,14,0.24,,Wichita State,29,4,10,32,22,4,81.9,62.6,19.3,53.2,63.6,-10.5,60%,51,172.1,1.3,,,,,,,,,,,,,,,
Baylor,Florida Gulf Coast,Nov. 18,Home,9,0.13,,Creighton,24,9,6,26,23,0,81.5,72.6,8.9,63.9,66.3,-2.4,60%,20,102.2,1.2,,,,,,,,,,,,,,,
Baylor,Iowa State,Feb. 25,Away,3,-0.13,,Minnesota,24,9,5,20,24,-1,75.3,69.1,6.2,58.5,63.9,-5.3,61%,28,89.8,0.8,,,,,,,,,,,,,,,
Baylor,Iowa State,Jan. 4,Home,2,0.08,,Middle Tennessee,29,4,12,35,25,5,74.2,63.3,10.9,47.2,66.0,-18.8,60%,56,187.2,0.8,,,,,,,,,,,,,,,
Baylor,Kansas,Feb. 1,Away,5,-0.07,,Iowa State,23,10,5,21,26,-2,80.9,72.0,8.9,64.5,64.8,-0.3,61%,18,101.5,0.5,,,,,,,,,,,,,,,
Baylor,Kansas,Feb. 18,Home,2,-0.03,,Michigan,24,11,7,25,27,0,74.8,65.5,9.3,58.3,58.9,-0.6,60%,38,96.3,0.5,,,,,,,,,,,,,,,
Baylor,Kansas State,Feb. 4,Home,2,-0.11,,UNC-Wilmington,27,5,12,27,28,5,83.1,74.1,9.0,53.8,79.8,-26.0,60%,49,162.9,0.4,,,,,,,,,,,,,,,
Baylor,Kansas State,Jan. 14,Away,9,0.16,,Nevada,28,6,12,29,29,4,80.0,70.9,9.0,53.7,73.7,-20.1,60%,53,147.6,0.4,,,,,,,,,,,,,,,
Baylor,Kansas State,Mar. 9,Neutral,6,-0.29,,Wisconsin,25,9,8,36,30,0,71.9,61.4,10.5,54.3,54.6,-0.3,59%,36,110.4,0.3,,,,,,,,,,,,,,,
Baylor,Louisville,Nov. 25,Neutral,3,0.17,,Dayton,23,7,7,30,31,-1,76.0,66.8,9.2,54.3,64.9,-10.7,60%,24,127.8,0.3,,,,,,,,,,,,,,,
Baylor,Michigan State,Nov. 24,Neutral,15,0.21,,VCU,26,8,10,22,32,2,74.7,66.4,8.3,53.1,64.7,-11.6,61%,47,127.1,0.2,,,,,,,,,,,,,,,
Baylor,Oklahoma State,Feb. 8,Away,3,0.10,,Southern California,24,9,11,41,33,2,78.7,73.2,5.5,58.8,69.5,-10.6,59%,31,133.5,0.0,,,,,,,,,,,,,,,
Baylor,Oklahoma State,Jan. 7,Home,4,0.12,,Rhode Island,24,9,11,31,34,2,73.4,64.9,8.5,53.0,62.0,-9.0,60%,40,127.2,0.0,,,,,,,,,,,,,,,
Baylor,Oregon,Nov. 15,Home,17,0.42,,Oklahoma State,19,12,10,40,35,1,85.0,77.8,7.2,69.0,70.2,-1.3,59%,3,95.5,-0.1,,,,,,,,,,,,,,,
Baylor,Texas Southern,Dec. 21,Home,26,0.16,,Vermont,28,5,13,46,36,4,73.4,62.8,10.5,45.6,65.6,-20.0,58%,57,194.8,-0.1,,,,,,,,,,,,,,,
Baylor,VCU,Nov. 23,Neutral,8,0.23,,Arkansas,25,9,8,28,37,-2,79.8,74.0,5.8,60.5,70.0,-9.5,60%,34,108.0,-0.2,,,,,,,,,,,,,,,
Baylor,West Virginia,Feb. 27,Home,9,0.24,,Maryland,23,8,6,34,38,-4,73.5,68.5,5.0,55.4,64.8,-9.3,60%,22,102.4,-0.2,,,,,,,,,,,,,,,
Baylor,West Virginia,Jan. 10,Away,21,-0.39,,South Carolina,21,10,7,43,39,-3,71.5,64.5,6.9,54.3,58.7,-4.4,59%,17,107.7,-0.5,,,,,,,,,,,,,,,
Baylor,Xavier,Dec. 3,Home,15,0.25,,Miami (Fla.),21,11,8,42,40,-2,69.4,63.7,5.7,55.3,54.3,1.1,59%,7,102.4,-0.6,,,,,,,,,,,,,,,
Bucknell,Butler,Nov. 19,Away,26,-0.36,,Seton Hall,21,11,9,44,41,-2,73.3,70.2,3.1,57.7,62.9,-5.3,59%,11,111.3,-0.7,,,,,,,,,,,,,,,
Bucknell,Mount St. Mary's,Dec. 19,Home,16,0.09,,Winthrop,24,6,13,70,42,2,79.3,71.2,8.1,49.2,77.2,-28.0,56%,44,207.3,-0.7,,,,,,,,,,,,,,,
Bucknell,Princeton,Dec. 22,Home,2,-0.11,,Virginia Tech,22,10,9,48,43,-2,79.3,74.4,4.8,62.2,68.7,-6.5,58%,15,110.7,-0.7,,,,,,,,,,,,,,,
