target,source,School ,Rank,Wins,RPI Rank,Opp PPG,BPI Rank,PPG,Last 12 Wins,MOV,SOS,,Team,RANK,DATE,SITE,OPPONENT,SCORE
,,Villanova,1,31,1,62.8,1,77.7,11,14.9,0.5802,,Vanderbilt,10,Jan. 21,Away,Florida,68-66
,,Arizona,2,30,2,65.4,24,76.3,10,10.9,0.5817,,Vanderbilt,10,Mar. 10,Neutral,Florida,72-62
,,Kansas,1,28,3,72.4,10,82.7,10,10.3,0.5811,,Vanderbilt,10,Mar. 4,Home,Florida,73-71
,,Kentucky,2,29,4,71.6,9,85.9,11,14.3,0.5863,,Vanderbilt,21,Jan. 28,Home,Iowa State,84-78
,,North Carolina,1,27,5,70.6,3,84.9,8,14.3,0.59,,Vanderbilt,28,Feb. 7,Away,Arkansas,72-59
,,Duke,2,27,6,69.8,6,80.7,9,10.9,0.5979,,Vanderbilt,43,Feb. 18,Home,South Carolina,71-62
,,Louisville,2,24,7,65.8,5,77.5,8,11.7,0.6087,,Vanderbilt,60,Nov. 15,Home,Belmont,80-66
,,Gonzaga,1,32,8,61.2,2,84.6,11,23.4,0.5402,,Vanderbilt,82,Feb. 22,Away,Tennessee,67-56
,,Oregon,3,29,9,65,13,79.1,10,14.1,0.5683,,Vanderbilt,93,Jan. 31,Away,Texas A&M,68-54
,,Florida,4,24,10,66.6,8,78.3,9,11.7,0.5934,,Vanderbilt,93,Feb. 16,Home,Texas A&M,72-67
,,Baylor,3,25,11,62.7,17,72.7,6,10,0.594,,Vanderbilt,93,Mar. 9,Neutral,Texas A&M,66-41
,,Cincinnati,6,29,12,60.8,19,74.5,10,13.7,0.5516,,Vanderbilt,113,Jan. 4,Home,Auburn,80-61
,,Florida State,3,25,13,71.3,20,82.5,7,11.2,0.5835,,Vanderbilt,125,Nov. 25,Neutral,Santa Clara,76-66
,,Butler,4,23,14,68.4,25,76.3,7,7.9,0.5904,,Vanderbilt,139,Dec. 17,Home,Chattanooga,76-74
,,SMU,6,30,15,59.8,16,74.5,12,14.7,0.5404,,Vanderbilt,149,Feb. 25,Home,Mississippi State,77-48
,,UCLA,3,29,16,75.3,14,90.4,10,15.1,0.54,,Vanderbilt,161,Nov. 29,Home,Tennessee State,83-59
,,St Marys,7,28,17,56.5,12,72,10,15.5,0.5434,,Vanderbilt,194,Dec. 29,Away,LSU,96-89
,,Virginia,5,22,18,55.6,4,66.6,6,11,0.5968,,Vanderbilt,235,Dec. 6,Home,High Point,90-63
,,VCU,10,26,19,66.4,40,74.7,10,8.3,0.5563,,Vanderbilt,242,Nov. 18,Home,Norfolk State,75-52
,,Purdue,4,25,20,67.2,11,80.1,9,12.9,0.5583,,Vanderbilt,4,Jan. 10,Home,Kentucky,81-87
,,Minnesota,5,24,21,69.1,38,75.3,9,6.2,0.5809,,Vanderbilt,4,Feb. 28,Away,Kentucky,67-73
,,Iowa St,5,23,22,72,23,80.9,10,8.9,0.5813,,Vanderbilt,15,Nov. 24,Neutral,Butler,66-76
,,Notre Dame,5,25,23,69.2,22,78,8,8.8,0.5732,,Vanderbilt,20,Dec. 3,Neutral,Minnesota,52-56
,,West Virginia,4,26,24,66.3,7,82,8,15.7,0.5555,,Vanderbilt,28,Jan. 24,Home,Arkansas,70-71
,,Arkansas,8,25,25,74,47,79.8,9,5.8,0.5611,,Vanderbilt,28,Mar. 11,Neutral,Arkansas,62-76
,,Creighton,6,25,26,72.5,27,82.1,6,9.6,0.5676,,Vanderbilt,30,Dec. 21,Away,Dayton,63-68
,,UNCW,12,29,27,74.9,61,85.2,9,10.3,0.5148,,Vanderbilt,35,Dec. 8,Away,Middle Tennessee,48-71
,,Dayton,7,24,28,66.5,36,76.5,9,10,0.5458,,Vanderbilt,52,Jan. 17,Away,Georgia,68-76
,,Nevada,12,28,29,70.9,48,80,10,9.1,0.5196,,Vanderbilt,61,Nov. 11,Neutral,Marquette,71-95
,,Michigan,7,24,30,65.5,18,74.8,9,9.3,0.5789,,Vanderbilt,63,Nov. 21,Home,Bucknell,72-75
,,Wichita State,10,30,31,62.4,15,82.1,12,19.7,0.5078,,Vanderbilt,77,Feb. 4,Home,Ole Miss,74-81
,,Wisconsin,8,25,32,61.4,21,71.9,7,10.5,0.5479,,Vanderbilt,78,Jan. 7,Away,Alabama,56-59
,,Maryland,6,24,34,67.8,49,74.2,6,6.4,0.5619,,Vanderbilt,82,Jan. 14,Home,Tennessee,75-87
,,Middle Tenn,12,30,35,63.3,45,75,11,11.7,0.5013,,Vanderbilt,255,Feb. 11,Away,Missouri,52-72
,,Xavier,11,21,36,71.4,35,74.6,5,3.2,0.587,,Louisville,4,Dec. 21,Home,Kentucky,73-70
,,Rhode Island,11,24,37,64.9,33,73.4,10,8.5,0.5569,,Louisville,6,Jan. 14,Home,Duke,78-69
,,Vanderbilt,9,19,38,68.1,39,71.3,8,3.2,0.6105,,Louisville,19,Nov. 30,Home,Purdue,71-64
,,Ok State,10,20,39,78,26,85.5,8,7.5,0.5847,,Louisville,23,Mar. 4,Home,Notre Dame,71-64
,,Miami,8,21,42,63.7,28,69.4,7,5.7,0.5684,,Louisville,32,Nov. 24,Neutral,Wichita State,62-52
,,South Carolina,7,22,43,64.5,43,72.1,6,7.6,0.5623,,Louisville,42,Feb. 11,Home,Miami (Fla.),71-66
,,Seton Hall,9,21,44,70.2,53,73.3,8,3.1,0.5636,,Louisville,48,Feb. 18,Home,Virginia Tech,94-90
,,Vermont,13,29,46,61.6,51,73.6,12,12,0.4911,,Louisville,68,Jan. 19,Home,Clemson,92-60
,,Virginia Tech,9,22,47,74.4,50,79.3,7,4.9,0.5503,,Louisville,74,Jan. 11,Home,Pittsburgh,85-80
,,Northwestern,8,23,49,65.4,46,71.1,5,5.7,0.5552,,Louisville,74,Jan. 24,Away,Pittsburgh,106-51
,,Princeton,12,23,50,61.5,54,72.1,12,10.6,0.5028,,Louisville,79,Dec. 31,Neutral,Indiana,77-62
,,Michigan St,9,19,51,68.4,44,71.7,7,3.3,0.5907,,Louisville,84,Feb. 13,Away,Syracuse,76-72
,,East Tenn St,13,27,54,69.4,74,79.9,10,10.5,0.4932,,Louisville,84,Feb. 26,Home,Syracuse,88-68
,,Kansas St,11,20,56,66.9,37,71.7,5,4.8,0.5652,,Louisville,105,Dec. 10,Home,Texas Southern,102-71
,,New Mexico St,14,28,60,67.2,98,78.9,9,11.7,0.4714,,Louisville,106,Jan. 7,Away,Georgia Tech,65-50
